,x,y,z
222,-4.846573,-29.990341,68.043777
223,-1.941647,-29.990341,57.695217
224,-1.601288,-29.990341,47.262978
225,-0.872587,-29.990341,26.230677
226,-0.865134,-29.990341,11.053236
227,-0.441899,-29.990341,36.286453
228,-67.173431,-38.990341,-6.950401
229,-65.906693,-38.990341,3.123424
230,-64.428696,-38.990341,-17.718481
231,-63.004669,-38.990341,13.13913
232,-60.609375,-38.990341,24.544664
233,-57.074463,-38.990341,37.175251
234,-55.35313,-38.990341,-21.885761
235,-51.442966,-38.990341,46.209347
236,-46.20499,-38.990341,-27.104691
237,-45.37207,-38.990341,54.215214
238,-37.854256,-38.990341,60.948349
239,-35.174408,-38.990341,-22.858528
240,-29.013268,-38.990341,65.947693
241,-26.049601,-38.990341,-18.939999
242,-19.96427,-38.990341,70.575623
243,-16.871595,-38.990341,-12.912952
244,-11.023799,-38.990341,-4.66881
245,-9.13127,-38.990341,71.794945
246,-5.581798,-38.990341,6.2355
247,-3.028726,-38.990341,63.6138
248,-2.485312,-38.990341,15.90377
249,-2.338265,-38.990341,53.251381
250,-1.122845,-38.990341,25.539448
251,-0.809308,-38.990341,42.967216
252,-64.944389,-47.490341,-10.108249
253,-61.566067,-47.490341,13.772797
254,-61.47982,-47.490341,3.524126
255,-60.833702,-47.490341,-20.501419
256,-60.390343,-47.490341,24.194845
257,-55.907845,-47.490341,35.531082
258,-50.706924,-47.490341,-24.7831
259,-50.665066,-47.490341,45.320961
260,-40.989014,-47.490341,-22.298435
261,-37.844284,-47.490341,55.357166
262,-30.333183,-47.490341,-19.709246
263,-27.333353,-47.490341,62.201176
264,-20.992247,-47.490341,-13.780746
265,-19.388943,-47.490341,69.50444
266,-12.760082,-47.490341,-6.890744
267,-9.251568,-47.490341,71.315056
268,-7.027041,-47.490341,2.107815
269,-3.452724,-47.490341,61.791111
